region	gridX	gridY
María Pinto	1	2
San Pedro	0	5
Independencia	5	1
La Florida	8	4
Lo Barnechea	8	0
Lo Espejo	4	4
Lo Prado	3	2
Pedro Aguirre Cerda	4	3
Pudahuel	2	2
San Joaquín	6	3
San Ramón	6	4
El Monte	1	3
Isla de Maipo	3	6
Talagante	2	5
Colina	7	0
Lampa	2	1
Tiltil	2	0
Pirque	6	6
Puente Alto	7	5
San José de Maipo	9	4
Buin	5	6
Paine	4	6
San Bernardo	4	5
Alhué	2	6
Curacaví	1	1
Calera de Tango	3	5
Melipilla	1	4
Cerrillos	3	3
Cerro Navia	3	1
Conchalí	5	0
El Bosque	5	5
Peñalolén	8	3
Providencia	6	2
Quilicura	3	0
Vitacura	7	1
Padre Hurtado	2	3
Quinta Normal	4	1
Recoleta	6	1
Renca	4	0
San Miguel	5	3
Santiago	5	2
Huechuraba	6	0
La Cisterna	5	4
La Granja	7	4
La Pintana	6	5
La Reina	8	2
Las Condes	8	1
Macul	7	3
Maipú	3	4
Ñuñoa	7	2
Peñaflor	2	4
Estación Central	4	2